Bathroom,Banheiro
Book,Livro
Bye,Tchau
Car,Carro
Cat,Gato
Closed,Fechado
Coffee,Café
Cold,Frio
Dog,Cachorro
Eight,Oito
Five,Cinco
Four,Quatro
Frango,Chicken
Heavy,Pesado
Hi,Oi
Highway,Rodovia
Honey,Mel
Hot,Quente
Hungry,Fome
Hurricane,Furacão
Melon,Melão
Nine,Nove
No,Não
Ocean,Oceano
One,Um
Open,Aberto
Plane,Avião
Rain,Chuva
Rice,Arroz
River,Rio
Seven,Sete
Ship,Navio
Six,Seis
Sleep,Dormir
Small,Pequeno
Sorry,Desculpe
Sugar,Açucar
Tea,Chá
Ten,Dez
Thanks,Obrigado
Thirsty,Sede
Three,Três
Tired,Cansado
Train,Trem
Tree,Árvore
Two,Dois
Yes,Sim
Zero,Zero
